

1	Eine	Eine	ART	ein	nom|sg|fem	NK	3
6	die	die	ART	d	acc|pl|fem	NK	7
7	Benennungen	Benennungen	NN	Benennungen	acc|pl|fem	SB	27
8	der	der	ART	d	gen|pl|fem	NK	9
9	Wirkungen	Wirkungen	NN	Wirkung	gen|pl|fem	AG	7
10	,	,	$,	,	_	--	9
11	oder	oder	KON	oder	_	CD	7
12	der	der	ART	d	dat|sg|fem	NK	13
13	Phaͤnomene	Phänomene	NN	Phänomen	dat|sg|fem	CJ	11
14	uͤberhaupt	überhaupt	ADV	überhaupt	_	MO	13
15	,	,	$,	,	_	--	14
16	die	die	PRELS	d	acc|pl|fem	OA	21
17	wir	wir	PPER	wir	nom|pl|*|1	SB	21
18	bey	bei	APPR	bei	_	MO	21
19	einem	einem	ART	ein	dat|sg|masc	NK	20
20	Koͤrper	Körper	NN	Körper	dat|sg|masc	NK	18
21	entdecken	entdecken	VVINF	entdecken	pl|3|pres|ind	RC	13
22	,	,	$,	,	_	--	21
23	mit	mit	APPR	mit	_	MO	27
24	der	der	ART	d	dat|sg|fem	NK	25
25	Benennung	Benennung	NN	Benennung	dat|sg|fem	NK	23
26	Kraft	Kraft	NN	Kraft	nom|sg|fem	OA	27
27	zusammensetzen	zusammensetzen	VVINF	zusammensetzen	pl|3|pres|ind	RE	2
28	,	,	$,	,	_	--	27
29	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
30	noch	noch	ADV	noch	_	MO	32
31	lange	lange	ADV	lange	_	MO	32
32	nicht	nicht	PTKNEG	nicht	_	NG	33
33	bewiesen	bewiesen	VVPP	beweisen	_	PD	29
34	,	,	$,	,	_	--	33
35	daß	daß	KOUS	daß	_	CP	42
36	wirklich	wirklich	ADJD	wirklich	pos	MO	42
37	mehrere	mehrere	PIAT	mehrere	nom|pl|masc	NK	38
38	Kraͤfte	Kräfte	NN	Kraft	acc|pl|fem	SB	42
39	im	im	APPRART	im	dat|sg|masc	MNR	38
40	Koͤrper	Körper	NN	Körper	dat|sg|masc	NK	39
41	da	da	ADV	da	_	MO	42
42	seyn	sein	VAINF	sein	_	SB	29
43	,	,	$,	,	_	--	42
44	die	die	PRELS	d	nom|pl|masc	SB	48
45	diese	diese	PDAT	dies	acc|sg|fem	NK	47
46	verschiedne	verschiedene	ADJA	verschieden	acc|pl|fem|pos	NK	47
47	Wirkungen	Wirkungen	NN	Wirkung	acc|pl|fem	OA	48
48	hervorbringen	hervorbringen	VVFIN	hervorbringen	_	RC	38
49	.	.	SENT	.	_	--	48

1	Es	Es	PPER	es	nom|sg|neut|3	SB	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	vielmehr	vielmehr	ADV	vielmehr	_	MO	2
4	sehr	sehr	ADV	sehr	_	MO	5
5	wahrscheinlich	wahrscheinlich	ADJD	wahrscheinlich	pos	PD	2
6	,	,	$,	,	_	--	5
7	daß	daß	KOUS	daß	_	CP	13
8	dieselbige	dieselbige	PDS	derselbige	nom|sg|fem	NK	9
9	Kraft	Kraft	APPR	kraft	nom|sg|fem	SB	13
10	mehrere	mehrere	PIAT	mehrere	acc|pl|fem	NK	11
11	Wirkungen	Wirkungen	NN	Wirkung	acc|pl|fem	OA	12
12	erzeugen	erzeugen	VVINF	erzeugen	_	OC	13
13	kan	kann	VMFIN	können	sg|3|pres|ind	RE	1
14	,	,	$,	,	_	--	13
15	das	das	PDS	d	nom|sg|neut	SB	16
16	heißt	heißt	VVFIN	heißen	sg|3|pres|ind	CJ	2
17	,	,	$,	,	_	--	16
18	Phaͤnomene	Phänomene	NN	Phänomen	nom|pl|neut	OC	16
19	,	,	$,	,	_	--	18
20	die	die	PRELS	d	nom|pl|fem	SB	26
21	mit	mit	APPR	mit	_	OP	25
22	andern	anderen	ADJA	ander	dat|pl|neut|pos	NK	23
23	Phaͤnomenen	Phänomenen	NN	Phänomen	dat|pl|neut	NK	21
24	gewoͤhnlich	gewöhnlich	ADJD	gewöhnlich	pos	MO	25
25	verbunden	verbunden	VVPP	verbinden	_	PD	26
26	sind	sind	VAFIN	sein	pl|3|pres|ind	RC	18
27	.	.	SENT	.	_	--	26

1	Man	Man	PIS	man	nom|sg|*	SB	2
2	schreibt	schreibt	VVFIN	schreiben	sg|3|pres|ind	--	0
3	dem	dem	ART	d	dat|sg|masc	NK	4
4	Feuer	Feuer	NN	Feuer	dat|sg|masc	DA	2
5	die	die	ART	d	acc|pl|fem	NK	6
6	Kraͤfte	Kräfte	NN	Kraft	acc|pl|fem	OA	2
7	zu	zu	PTKVZ	zu	_	SVP	2
8	,	,	$,	,	_	--	7
9	gewisse	gewisse	ADJA	gewiß	acc|pl|masc|pos	NK	10
10	Koͤrper	Körper	NN	Körper	acc|pl|masc	OA	11
11	auszudehnen	auszudehnen	VVIZU	ausdehnen	_	OC	2
12	,	,	$,	,	_	--	11
13	zu	zu	APPR	zu	_	PM	14
14	haͤrten	härten	ADJA	härten	_	CJ	11
15	,	,	$,	,	_	--	14
16	fluͤssig	flüssig	ADJD	flüssig	pos	MO	18
17	zu	zu	PTKZU	zu	_	PM	18
18	machen	machen	VVINF	machen	_	OC	6
19	,	,	$,	,	_	--	18
20	in	in	APPR	in	_	OP	23
21	Asche	Asche	NN	Asche	acc|sg|fem	NK	20
22	zu	zu	PTKZU	zu	_	PM	23
23	verwandeln	verwandeln	VVINF	verwandeln	_	OC	18
24	;	;	SENT	;	_	--	23

1	und	und	KON	und	_	JU	7
2	das	das	ART	d	nom|sg|neut	NK	3
3	Gemeinschaftliche	Gemeinschaftliche	NN	Gemeinschaftliche	nom|sg|neut	SB	7
4	bey	bei	APPR	bei	_	MNR	3
5	diesen	diesen	PDAT	dies	dat|pl|fem	NK	6
6	Wirkungen	Wirkungen	NN	Wirkung	dat|pl|fem	NK	4
7	scheint	scheint	VVFIN	scheinen	sg|3|pres|ind	--	0
8	doch	doch	ADV	doch	_	MO	7
9	blos	bloß	ADJD	bloß	_	MO	13
10	die	die	ART	d	acc|sg|fem	NK	11
11	Kraft	Kraft	NN	Kraft	acc|sg|fem	PD	13
12	zu	zu	PTKZU	zu	_	PM	13
13	seyn	sein	VAINF	sein	_	OC	7
14	,	,	$,	,	_	--	13
15	schnel	schnell	ADJD	schnell	pos	MO	21
16	in	in	APPR	in	_	MO	21
17	die	die	ART	d	acc|pl|masc	NK	18
18	Zwischenraͤume	Zwischenräume	NN	Zwischenräume	acc|pl|masc	NK	16
19	der	der	ART	d	gen|pl|masc	NK	20
20	Koͤrper	Körper	NN	Körper	gen|pl|masc	AG	18
21	einzubringen	einzubringen	VVIZU	einbringen	_	OC	11
22	.	.	SENT	.	_	--	21

1	So	So	ADV	so	_	MO	2
2	ist	ist	VAFIN	sein	sg|3|pres|ind	--	0
3	fast	fast	ADV	fast	_	MO	4
4	durchgaͤngig	durchgängig	ADJD	durchgängig	pos	PD	2
5	in	in	APPR	in	_	MO	2
6	allen	allen	PIAT	all	dat|pl|masc	NK	7
7	Begriffen	Begriffen	NN	Begriff	dat|pl|masc	NK	5
8	von	von	APPR	von	_	PG	7
9	mehreren	mehreren	PIAT	mehrere	dat|pl|fem	NK	10
10	Kraͤften	Kräften	NN	Kraft	dat|pl|fem	NK	8
11	,	,	$,	,	_	--	10
12	die	die	PRELS	d	acc|sg|fem	OA	18
13	man	man	PIS	man	nom|sg|*	SB	18
14	einem	einem	ART	ein	dat|sg|neut	NK	17
15	und	und	KON	und	_	CD	14
16	ebendemselbigen	ebendemselbigen	PDAT	ebendemselbigen	gen|pl|masc|pos	CJ	15
17	Dinge	Dinge	NN	Ding	gen|pl|neut	DA	18
18	zuschreibt	zuschreibt	VVFIN	zuschreiben	sg|3|pres|ind	RC	10
19	,	,	$,	,	_	--	18
20	ein	ein	ART	ein	nom|sg|neut	NK	21
21	Gemisch	Gemisch	NN	Gemisch	nom|sg|neut	SB	2
22	von	von	APPR	von	_	PG	21
23	den	den	ART	d	dat|pl|fem	NK	24
24	Wirkungen	Wirkungen	NN	Wirkung	dat|pl|fem	NK	22
25	mit	mit	PTKVZ	mit	_	MO	26
26	enthalten	enthalten	VVPP	enthalten	pos	PD	2
27	.	.	SENT	.	_	--	26

1	Wie	Wie	PWAV	wie	_	MO	3
2	sehr	sehr	ADV	sehr	_	MO	3
3	vermischt	vermischt	VVFIN	vermischen	_	MO	21
4	,	,	$,	,	_	--	3
5	und	und	KON	und	_	CD	3
6	aus	aus	APPR	aus	_	MO	9
7	den	den	ART	d	dat|pl|fem	NK	8
8	Wirkungen	Wirkungen	NN	Wirkung	dat|pl|fem	NK	6
9	zusammengesezt	zusammengesetzt	VVPP	zusammensetzen	sg|3|pres|ind	CJ	5
10	die	die	ART	d	nom|sg|fem	NK	11
11	Begriffe	Begriffe	NN	Begriff	nom|pl|masc	PD	19
12	von	von	APPR	von	_	PG	11
13	den	den	ART	d	dat|pl|masc	NK	15
14	mehreren	mehreren	ADJA	mehrere	dat|pl|masc	NK	15
15	Kraͤften	Kräften	NN	Kraft	dat|pl|fem	NK	12
16	eines	eines	ART	ein	gen|sg|masc	NK	18
17	einzelnen	einzelnen	ADJA	einzeln	gen|sg|masc|pos	NK	18
18	Dinges	Dinges	NE	Dinges	gen|sg|masc	AG	15
19	seyn	sein	VAINF	sein	_	OC	9
20	,	,	$,	,	_	--	19
21	erhellet	erhellet	VVFIN	erhellen	sg|3|pres|ind	--	0
22	vorzuͤglich	vorzüglich	ADJA	vorzüglich	pos	MO	21
23	daraus	daraus	PAV	daraus	_	MO	21
24	,	,	$,	,	_	--	23
25	daß	daß	KOUS	daß	_	CP	35
26	solche	solche	PIAT	solch	nom|pl|masc	NK	27
27	Begriffe	Begriffe	NN	Begriff	nom|pl|masc	SB	35
28	von	von	APPR	von	_	PG	27
29	mehreren	mehreren	PIAT	mehrere	dat|pl|fem	NK	30
30	Kraͤften	Kräften	NN	Kraft	dat|pl|fem	NK	28
31	desselbigen	desselbigen	PDAT	derselbige	gen|sg|neut|pos	NK	32
32	Dinges	Dinges	NE	Dinges	gen|sg|masc	AG	30
33	gar	gar	ADV	gar	_	MO	34
34	nicht	nicht	PTKNEG	nicht	_	NG	35
35	koͤnnen	können	VMFIN	können	pl|3|pres|ind	RE	23
36	gebildet	gebildet	VVPP	bilden	_	OC	37
37	werden	werden	VAINF	werden	_	OC	35
38	,	,	$,	,	_	--	37
39	woferne	sofern	KOUS	sofern	_	CP	48
40	man	man	PIS	man	nom|sg|*	SB	48
41	die	die	ART	d	acc|pl|fem	NK	43
42	bestimten	bestimmten	ADJA	bestimmt	acc|pl|masc|pos	NK	43
43	Gegenstaͤnde	Gegenstände	NN	Gegenstand	acc|pl|masc	OA	48
44	nicht	nicht	PTKNEG	nicht	_	NG	48
45	mit	mit	ADV	mit	_	MO	48
46	in	in	APPR	in	_	MO	48
47	Erwegung	Erwägung	NN	Erwägung	acc|sg|fem	NK	46
48	ziehet	ziehet	VVFIN	ziehen	_	MO	35
49	,	,	$,	,	_	--	48
50	an	an	APPR	an	_	MO	56
51	denen	denen	PRELS	d	dat|pl|fem	NK	50
52	sich	sich	PRF	er|es|sie	acc|pl|3	DA	56
53	die	die	ART	d	nom|pl|masc	NK	55
54	mehreren	mehreren	ADJA	mehrere	acc|pl|fem	NK	55
55	Kraͤfte	Kräfte	NN	Kraft	acc|pl|fem	OA	56
56	aͤußern	äußeren	ADJA	äußerer	_	RC	43
57	.	.	SENT	.	_	--	56

1	Wir	Wir	PPER	wir	nom|pl|*|1	SB	2
2	wuͤrden	würden	VAFIN	werden	pl|3|past|subj	--	0
3	keinen	keinen	PIAT	kein	acc|sg|masc	NK	4
4	Begrif	Begriff	NN	Begriff	acc|sg|masc	OA	10
5	von	von	APPR	von	_	MO	10
6	der	der	ART	d	dat|sg|fem	NK	7
7	Kraft	Kraft	NN	Kraft	dat|sg|fem	NK	5
8	des	des	ART	d	gen|sg|neut	NK	9
9	Feuers	Feuers	NN	Feuer	gen|sg|neut	AG	7
10	haben	haben	VAFIN	haben	_	OC	2
11	,	,	$,	,	_	--	10
12	Koͤrper	Körper	NN	Körper	acc|pl|masc	OA	14
13	zu	zu	PTKZU	zu	_	PM	14
14	schmelzen	schmelzen	VVINF	schmelzen	_	OC	4
15	,	,	$,	,	_	--	14
16	oder	oder	KON	oder	_	CD	14
17	in	in	APPR	in	_	OP	20
18	Asche	Asche	NN	Asche	dat|sg|fem	NK	17
19	zu	zu	PTKZU	zu	_	PM	20
20	verwandeln	verwandeln	VVINF	verwandeln	_	CJ	16
21	,	,	$,	,	_	--	20
22	wenn	wenn	KOUS	wenn	_	CP	36
23	es	es	PPER	es	nom|sg|neut|3	SB	36
24	nicht	nicht	PTKNEG	nicht	_	NG	36
25	bestimte	bestimmte	ADJA	bestimmt	acc|pl|masc|pos	NK	26
26	Koͤrper	Körper	NN	Körper	acc|pl|masc	OA	35
27	,	,	$,	,	_	--	26
28	Bley	Blei	NN	Blei	nom|sg|neut	CJ	26
29	und	und	KON	und	_	CD	28
30	Holz	Holz	NN	Holz	nom|sg|neut	CJ	29
31	,	,	$,	,	_	--	30
32	oder	oder	KON	oder	_	CD	26
33	aͤhnliche	ähnliche	ADJA	ähnlich	nom|pl|fem|pos	NK	34
34	Materialien	Materialien	NN	Material	dat|pl|fem	CJ	32
35	geben	geben	VVINF	geben	_	OC	36
36	solte	sollte	VMFIN	sollen	sg|3|past|ind	MO	20
37	,	,	$,	,	_	--	36
38	an	an	APPR	an	_	MO	43
39	denen	denen	PRELS	d	dat|pl|masc	NK	38
40	man	man	PIS	man	nom|sg|*	SB	43
41	diese	diese	PDAT	dies	acc|pl|fem	NK	42
42	Wirkungen	Wirkungen	NN	Wirkung	acc|pl|fem	OA	43
43	wahrnahm	wahrnahm	VVFIN	wahrnehmen	sg|3|past|ind	RC	34
44	,	,	$,	,	_	--	43
45	und	und	KON	und	_	CD	36
46	davon	davon	PAV	davon	_	MO	55
47	man	man	PIS	man	nom|sg|*	SB	55
48	den	den	ART	d	acc|sg|masc	NK	49
49	Begrif	Begriff	NN	Begriff	acc|sg|masc	OA	55
50	von	von	APPR	von	_	PG	49
51	mehreren	mehreren	PIAT	mehrere	dat|pl|fem	NK	52
52	Kraͤften	Kräften	NN	Kraft	dat|pl|fem	NK	50
53	des	des	ART	d	gen|sg|masc	NK	54
54	Feuers	Feuers	NN	Feuer	gen|sg|neut	AG	52
55	abzog	abzog	VVFIN	abzog	sg|3|past|ind	CJ	45
56	.	.	SENT	.	_	--	55

1	Daher	Daher	ADV	daher	_	MO	2
2	scheint	scheint	VVFIN	scheinen	sg|3|pres|ind	--	0
3	es	es	PPER	es	nom|sg|neut|3	SB	2
4	blos	bloß	ADJD	bloß	_	MO	9
5	von	von	APPR	von	_	MO	9
6	den	den	ART	d	dat|pl|masc	NK	8
7	mehreren	mehreren	ADJA	mehrere	dat|pl|masc	NK	8
8	Gegenstaͤnden	Gegenständen	NN	Gegenstand	dat|pl|masc	NK	5
9	abzuhangen	abzuhangen	VVIZU	abzuhangen	_	RE	3
10	,	,	$,	,	_	--	9
11	auf	auf	APPR	auf	_	MO	15
12	welche	welche	PRELS	welch	acc|pl|fem	NK	11
13	ein	ein	ART	ein	nom|sg|masc	NK	14
14	Ding	Ding	NN	Ding	nom|sg|masc	SB	15
15	wirkt	wirkt	VVFIN	wirken	sg|3|pres|ind	RC	8
16	,	,	$,	,	_	--	15
17	warum	warum	PWAV	warum	_	MO	22
18	man	man	PIS	man	nom|sg|*	SB	22
19	ihm	ihm	PPER	er	dat|sg|masc|3	DA	22
20	mehrere	mehrere	PIAT	mehrere	acc|pl|masc	NK	21
21	Kraͤfte	Kräfte	NN	Kraft	acc|pl|fem	OA	22
22	zuschreibt	zuschreibt	VVFIN	zuschreiben	sg|3|pres|ind	OC	2
23	.	.	SENT	.	_	--	22

1	Wenn	Wenn	KOUS	wenn	_	CP	5
2	diese	diese	PDAT	dies	nom|pl|masc	NK	3
3	Gedanken	Gedanken	NN	Gedanke	nom|pl|masc	SB	5
4	richtig	richtig	ADJD	richtig	pos	PD	5
5	sind	sind	VAFIN	sein	pl|3|pres|ind	--	0
6	:	:	SENT	:	_	--	5

1	so	so	ADV	so	_	MO	2
2	hat	hat	VAFIN	haben	sg|3|pres|ind	--	0
3	man	man	PIS	man	nom|sg|*	SB	2
4	nicht	nicht	PTKNEG	nicht	_	NG	5
5	noͤthig	nötig	ADJD	nötig	pos	OC	2
6	,	,	$,	,	_	--	5
7	die	die	PRELS	d	nom|pl|fem	NK	10
8	mehrern	mehreren	PIAT	mehrere	nom|pl|fem	NK	10
9	sogenanten	sogenannten	ADJA	sogenannt	nom|pl|neut|pos	NK	10
10	Seelenkraͤfte	Seelenkräfte	NN	Seelenkraft	nom|pl|fem	OA	18
11	fuͤr	für	APPR	für	_	MO	18
12	eben	eben	ADV	eben	_	MO	13
13	so	so	ADV	so	_	MO	14
14	viel	viel	PIAT	viel	*|*|*	NK	16
15	verschiedene	verschiedene	ADJA	verschieden	acc|pl|neut|pos	NK	16
16	Kraͤfte	Kräfte	NN	Kraft	acc|pl|fem	NK	11
17	zu	zu	PTKZU	zu	_	PM	18
18	halten	halten	VVINF	halten	_	OC	5
19	,	,	$,	,	_	--	18
20	als	als	KOUS	als	_	CM	29
21	man	man	PIS	man	nom|sg|*	SB	29
22	Benennungen	Benennungen	NN	Benennungen	acc|pl|fem	OA	29
23	in	in	APPR	in	_	MO	29
24	allen	allen	PIAT	all	dat|pl|fem	NK	26
25	ausgebildeten	ausgebildeten	ADJA	ausgebildet	dat|pl|fem|pos	NK	26
26	Sprachen	Sprachen	NN	Sprache	dat|pl|fem	NK	23
27	fuͤr	für	APPR	für	_	MO	29
28	sie	sie	PPER	Sie	acc|pl|masc|3	NK	27
29	antrift	antrifft	VVFIN	antreffen	sg|3|pres|ind	CC	13
30	.	.	SENT	.	_	--	29

1	Die	Die	ART	d	nom|sg|fem	NK	3
2	nemliche	nämliche	ADJA	nämlich	nom|sg|fem|pos	NK	3
3	Kraft	Kraft	NN	Kraft	nom|sg|fem	SB	4
4	kan	kann	VMFIN	können	sg|3|pres|ind	--	0
5	Einbildungskraft	Einbildungskraft	NN	Einbildungskraft	acc|sg|fem	OA	8
6	und	und	KON	und	_	CD	5
7	Urtheilskraft	Urteilskraft	NN	Urteilskraft	acc|sg|fem	CJ	6
8	heißen	heißen	VVINF	heißen	_	OC	4
9	,	,	$,	,	_	--	8
10	wenn	wenn	KOUS	wenn	_	CP	17
11	sie	sie	PPER	Sie	nom|pl|fem|3	SB	17
12	gerade	gerade	ADV	gerade	_	MO	16
13	von	von	APPR	von	_	SBP	16
14	solchen	solchen	PIAT	solch	dat|pl|fem	NK	15
15	Ideen	Ideen	NN	Idee	dat|pl|fem	NK	13
16	beschaͤftiget	beschäftiget	ADJD	beschäftigt	_	OC	17
17	wird	wird	VAFIN	werden	sg|3|pres|ind	MO	8
18	,	,	$,	,	_	--	17
19	an	an	APPR	an	_	MO	33
20	welchen	welchen	PRELS	welch	acc|sg|masc	NK	19
21	sich	sich	PRF	er|es|sie	acc|sg|3	OA	33
22	die	die	ART	d	nom|sg|fem	NK	23
23	Wirkung	Wirkung	NN	Wirkung	nom|sg|fem	SB	34
24	,	,	$,	,	_	--	23
25	die	die	PRELS	d	acc|sg|fem	OA	31
26	man	man	PIS	man	nom|sg|*	SB	31
27	entweder	entweder	KON	entweder	_	CD	28
28	Phantasie	Phantasie	NN	Phantasie	acc|sg|fem	OA	31
29	oder	oder	KON	oder	_	CD	28
30	Raisonnement	Raisonnement	NN	Raisonnement	acc|sg|neut	CJ	29
31	nent	nennt	VVFIN	nennen	sg|3|pres|ind	RC	23
32	,	,	$,	,	_	--	31
33	ausuͤben	ausüben	VVINF	ausüben	_	OC	34
34	laͤßt	läßt	VVFIN	lassen	sg|3|pres|ind	RC	15
35	.	.	SENT	.	_	--	34

1	So	So	ADV	so	_	--	0
2	wie	wie	KOKOM	wie	_	CM	8
3	dem	dem	ART	d	dat|sg|neut	NK	4
4	Feuer	Feuer	NN	Feuer	dat|sg|neut	DA	8
5	bald	bald	ADV	bald	_	MO	8
6	eine	eine	ART	ein	acc|sg|fem	NK	7
7	Kraft	Kraft	NN	Kraft	acc|sg|fem	OA	8
8	auszudehnen	auszudehnen	VVIZU	ausdehnen	_	CC	1
9	,	,	$,	,	_	--	8
10	bald	bald	ADV	bald	_	MO	13
11	fluͤssig	flüssig	ADJD	flüssig	pos	MO	13
12	zu	zu	PTKZU	zu	_	PM	13
13	machen	machen	VVINF	machen	_	OC	7
14	,	,	$,	,	_	--	13
15	bald	bald	ADV	bald	_	MO	17
16	zu	zu	PTKZU	zu	_	PM	17
17	verzehren	verzehren	VVINF	verzehren	_	CJ	13
18	,	,	$,	,	_	--	17
19	zugeschrieben	zugeschrieben	VVPP	zuschreiben	_	OC	20
20	wird	wird	VAFIN	werden	sg|3|pres|ind	CJ	17
21	,	,	$,	,	_	--	20
22	nachdem	nachdem	KOUS	nachdem	_	CP	24
23	bald	bald	ADV	bald	_	MO	24
24	Eisen	Eisen	NN	Eisen	acc|*|neut	CJ	34
25	,	,	$,	,	_	--	24
26	bald	bald	ADV	bald	_	MO	27
27	Bley	Blei	NN	Blei	nom|sg|neut	CJ	24
28	,	,	$,	,	_	--	27
29	bald	bald	ADV	bald	_	CP	34
30	Holz	Holz	NN	Holz	nom|sg|neut	SB	34
31	mit	mit	APPR	mit	_	MO	33
32	ihm	ihm	PPER	er	dat|sg|masc|3	NK	31
33	vereinigt	vereinigt	VVPP	vereinigen	_	OC	34
34	wird	wird	VAFIN	werden	sg|3|pres|ind	MO	8
35	:	:	SENT	:	_	--	34

1	eben	eben	ADV	eben	_	MO	2
2	so	so	ADV	so	_	MO	3
3	schreibt	schreibt	VVFIN	schreiben	sg|3|pres|ind	--	0
4	man	man	PIS	man	nom|sg|*	SB	3
5	der	der	ART	d	dat|sg|fem	NK	6
6	Seele	Seele	NN	Seele	gen|sg|fem	DA	3
7	Gedaͤchtniskraft	Gedächtniskraft	NN	Gedächtniskraft	acc|sg|fem	OA	3
8	,	,	$,	,	_	--	7
9	Einbildungskraft	Einbildungskraft	NN	Einbildungskraft	acc|sg|fem	CJ	7
10	,	,	$,	,	_	--	9
11	Verstand	Verstand	NN	Verstand	dat|sg|masc	CJ	9
12	und	und	KON	und	_	CD	11
13	Vernunft	Vernunft	NN	Vernunft	dat|sg|fem	CJ	12
14	zu	zu	PTKVZ	zu	_	SVP	3
15	,	,	$,	,	_	--	14
16	je	je	ADV	je	_	MO	29
17	nachdem	nachdem	KOUS	nachdem	_	CP	29
18	eine	eine	ART	ein	nom|sg|fem	NK	20
19	bestimte	bestimmte	ADJA	bestimmt	nom|sg|fem|pos	NK	20
20	Art	Art	NN	Art	nom|sg|fem	SB	29
21	von	von	APPR	von	_	PG	20
22	Ideen	Ideen	NN	Idee	dat|pl|fem	NK	21
23	unsre	unsre	PPOSAT	unser	sg|3|pres|subj	NK	24
24	Gehirnorganen	Gehirnorganen	NN	Gehirnorganen	dat|pl|neut	AG	22
25	auf	auf	APPR	auf	_	MO	29
26	eine	eine	ART	ein	acc|sg|fem	NK	28
27	bestimte	bestimmte	ADJA	bestimmt	acc|sg|fem|pos	NK	28
28	Art	Art	NN	Art	acc|sg|fem	NK	25
29	erschuͤttert	erschüttert	VVPP	erschüttern	_	MO	3
30	,	,	$,	,	_	--	29
31	daß	daß	KOUS	daß	_	CP	34
32	wir	wir	PPER	wir	nom|pl|*|1	SB	34
33	entweder	entweder	KON	entweder	_	CD	34
34	erinnern	erinnern	VVINF	erinnern	pl|1|pres|ind	OC	29
35	,	,	$,	,	_	--	34
