Liebig's	VVIMP	Liebig's
nach	APPR	nach
dem	ART	die
Tode	NN	Tod
.	$.	.
Nach	APPR	nach
dieser	PDAT	dies
Vorstellungsweise	NN	Vorstellungsweise
befinden	VVFIN	befinden
sich	PRF	sich
also	ADV	also
die	ART	die
Bildungsbestandtheile	NN	Bildungsbestandtheile
der	ART	die
ganzen	ADJA	ganz
organischen	ADJA	organisch
Natur	NN	Natur
,	$,	,
der	ART	die
Kohlenstoff	NN	Kohlenstoff
,	$,	,
Wasserstoff	NN	Wasserstoff
,	$,	,
Stickstoff	NN	Stickstoff
und	KON	und
Sauerstoff	NN	Sauerstoff
,	$,	,
in	APPR	in
einem	ART	eine
beständigen	ADJA	beständig
Kreislauf	NN	Kreislauf
und	KON	und
treten	VVFIN	treten
abwechselnd	ADJD	abwechselnd
in	APPR	in
den	ART	die
Pflanzen	NN	Pflanze|Pflanzen
,	$,	,
in	APPR	in
den	ART	die
Thieren	NN	Thieren
und	KON	und
in	APPR	in
der	ART	die
Luft	NN	Luft
auf	PTKVZ	auf
,	$,	,
so	ADV	so
dass	KOUS	dass
die	ART	die
ganze	ADJA	ganz
Reihe	NN	Reihe
auf	APPR	auf
einander	PRF	einander
folgender	ADJA	folgend
Geschlechter	NN	Geschlecht
aus	APPR	aus
demselben	PDAT	dieselb
Bildungsmateriale	NN	Bildungsmateriale
besteht	VVFIN	bestehen
.	$.	.
Zur	APPRART	zu+die
Aufstellung	NN	Aufstellung
einer	ART	eine
so	ADV	so
umfassenden	ADJA	umfassend
Theorie	NN	Theorie
hatte	VAFIN	haben
Liebig	NE	Liebig
,	$,	,
wie	KOUS	wie
sich	PRF	sich
leicht	ADJD	leicht
erachten	VVINF	erachten
lässt	VVFIN	lassen
,	$,	,
viele	PIAT	viele
Vorarbeiter	NN	Vorarbeiter
nöthig	ADJD	nöthig
;	$.	;
dass	KOUS	dass
er	PPER	er
aber	ADV	aber
nicht	PTKNEG	nicht
,	$,	,
wie	KOUS	wie
man	PIS	man
von	APPR	von
ihm	PPER	er
behauptet	VVPP	behaupten
hat	VAFIN	haben
,	$,	,
die	ART	die
Leistungen	NN	Leistung
derselben	PDS	dieselbe
beeinträchtigen	VVINF	beeinträchtigen
oder	KON	oder
verdunkeln	VVFIN	verdunkeln
,	$,	,
sondern	KON	sondern
sie	PPER	sie
nur	ADV	nur
benutzen	VVINF	benutzen
wollte	VMFIN	wollen
,	$,	,
geht	VVFIN	gehen
im	APPRART	in+die
Einzelnen	NN	Einzelne
aus	APPR	aus
seinen	PPOSAT	sein
zahlreichen	ADJA	zahlreich
Citaten	NN	Citaten
,	$,	,
und	KON	und
im	APPRART	in+die
Allgemeinen	NN	Allgemeine
aus	APPR	aus
seiner	PPOSAT	sein
Vorrede	NN	Vorrede
auf	APPR	auf
das	ART	die
Genügendste	NN	Genügendste
hervor	PTKVZ	hervor
,	$,	,
bedarf	VVFIN	bedürfen
also	ADV	also
keiner	PIAT	keine
weitern	ADJA	weitern
Erörterung	NN	Erörterung
mehr	ADV	mehr
.	$.	.
Den	ART	die
schönen	ADJA	schön
Gang	NN	Gang
der	ART	die
Betrachtungen	NN	Betrachtung
,	$,	,
welche	PRELS	welche
Liebig	NE	Liebig
bei	APPR	bei
der	ART	die
Aufstellung	NN	Aufstellung
seiner	PPOSAT	sein
Theorie	NN	Theorie
leiteten	VVFIN	leiten
,	$,	,
theilt	ADJD	theilt
derselbe	PDAT	derselb
in	APPR	in
folgenden	ADJA	folgend
vier	CARD	vier
Kapiteln	NN	Kapitel
,	$,	,
welche	PRELS	welche
von	APPR	von
dem	ART	die
Ursprung	NN	Ursprung
des	ART	die
Wasserstoffs	NN	Wasserstoff
,	$,	,
des	ART	die
Kohlenstoffs	NN	Kohlenstoff
und	KON	und
des	ART	die
Stickstoffs	NN	Stickstoff
,	$,	,
so	ADV	so
wie	KOKOM	wie
von	APPR	von
der	ART	die
Bedeutung	NN	Bedeutung
der	ART	die
mineralischen	ADJA	mineralisch
Stoffe	NN	Stoff
handeln	VVFIN	handeln
,	$,	,
mit	PTKVZ	mit
.	$.	.
Der	ART	die
Ursprung	NN	Ursprung
des	ART	die
Sauerstoffs	NN	Sauerstoff
bedurfte	VVFIN	bedurfte
keiner	PIS	keine
besondern	VVFIN	besondern
Erörterung	NN	Erörterung
,	$,	,
da	KOUS	da
dieser	PDS	diese
immer	ADV	immer
in	APPR	in
Verbindung	NN	Verbindung
mit	APPR	mit
Kohlenstoff	NN	Kohlenstoff
oder	KON	oder
Wasserstoff	NN	Wasserstoff
aufgenommen	VVPP	aufnehmen
wird	VAFIN	werden
.	$.	.
1	CARD	@card@
)	$(	)
Kohlenstoff	NN	Kohlenstoff
.	$.	.
Die	ART	die
Ansicht	NN	Ansicht
,	$,	,
dass	KOUS	dass
die	ART	die
in	APPR	in
Verwesung	NN	Verwesung
begriffenen	ADJA	begriffen
organischen	ADJA	organisch
Stoffe	NN	Stoff
,	$,	,
der	ART	die
sogenannte	ADJA	sogenannt
Humus	NN	Humus
,	$,	,
den	ART	die
Pflanzen	NN	Pflanze|Pflanzen
ihren	PPOSAT	ihr
Kohlenstoff	NN	Kohlenstoff
liefern	VVFIN	liefern
,	$,	,
ist	VAFIN	sein
nicht	PTKNEG	nicht
begründet	VVPP	begründen
;	$.	;
denn	KON	denn
dieser	PDAT	dies
Humus	NN	Humus
ist	VAFIN	sein
in	APPR	in
Wasser	NN	Wasser
unlöslich	ADJD	unlöslich
,	$,	,
und	KON	und
kann	VMFIN	können
deshalb	PAV	deshalb
von	APPR	von
den	ART	die
Pflanzen	NN	Pflanze|Pflanzen
nicht	PTKNEG	nicht
aufgenommen	VVPP	aufnehmen
werden	VAINF	werden
.	$.	.
Auch	ADV	auch
in	APPR	in
Verbindung	NN	Verbindung
mit	APPR	mit
Basen	NN	Base|Basis
,	$,	,
d.	PDS	d.
h.	VVFIN	heißen
in	APPR	in
Form	NN	Form
humussaurer	ADJA	humussaurer
Salze	NN	Salz
kann	VMFIN	können
der	ART	die
Humus	NN	Humus
nicht	PTKNEG	nicht
in	APPR	in
die	ART	die
Pflanzen	NN	Pflanze|Pflanzen
übergehen	VVINF	übergehen
,	$,	,
weil	KOUS	weil
die	ART	die
in	APPR	in
den	ART	die
letztern	ADJD	letztern
enthaltenen	ADJA	enthalten
Basen	NN	Base|Basis
,	$,	,
wie	KOUS	wie
die	ART	die
Berechnung	NN	Berechnung
ergibt	VVFIN	ergeben
,	$,	,
dazu	PAV	dazu
bei	APPR	bei
weitem	ADJA	weit
nicht	PTKNEG	nicht
ausreichen	VVFIN	ausreichen
,	$,	,
und	KON	und
ausserdem	ADV	außerdem
die	ART	die
Menge	NN	Menge
des	ART	die
Regenwassers	NN	Regenwasser
zur	APPRART	zu+die
Auflösung	NN	Auflösung
dieser	PDAT	dies
humussauern	NN	humussauern
Salze	NN	Salz
unzureichend	ADJD	unzureichend
wäre	VAFIN	sein
.	$.	.
Noch	ADV	noch
überzeugender	ADJD	überzeugend
ist	VAFIN	sein
eine	ART	eine
andere	PIAT	andere
Berechnung	NN	Berechnung
,	$,	,
aus	APPR	aus
der	PRELS	die
hervorgeht	VVFIN	hervorgehen
,	$,	,
dass	KOUS	dass
gleiche	ADJA	gleich
Flächen	NN	Fläche
Wald-	TRUNC	Wald-
Wiesen-	TRUNC	Wiesen-
und	KON	und
Kulturland	NN	Kulturland
sehr	ADV	sehr
nahe	APPR	nahe
dieselbe	PDAT	dieselb
Menge	NN	Menge
Kohlenstoff	NN	Kohlenstoff
in	APPR	in
Form	NN	Form
von	APPR	von
Holz	NN	Holz
,	$,	,
Gras	NN	Gras
und	KON	und
Runkelrüben	NN	Runkelrübe
produciren	VVFIN	produciren
,	$,	,
wiewohl	KOUS	wiewohl
nur	ADV	nur
dem	ART	die
Kulturland	NN	Kulturland
durch	APPR	durch
den	ART	die
Dünger	NN	Dünger
Kohlenstoff	NN	Kohlenstoff
zugeführt	VVPP	zuführen
wird	VAFIN	werden
.	$.	.
Wir	PPER	wir
entziehen	VVFIN	entziehen
also	ADV	also
den	ART	die
Wäldern	NN	Wald
und	KON	und
Wiesen	NN	Wiese
jedes	PIAT	jede
Jahr	NN	Jahr
eine	ART	eine
gewisse	ADJA	gewiss
Menge	NN	Menge
Kohlenstoff	NN	Kohlenstoff
in	APPR	in
Form	NN	Form
von	APPR	von
Holz	NN	Holz
und	KON	und
Heu	NN	Heu
,	$,	,
so	ADV	so
dass	KOUS	dass
ihr	PPOSAT	ihr
Humusgehalt	NN	Humusgehalt
nothwendig	ADJD	nothwendig
mit	APPR	mit
der	ART	die
Zeit	NN	Zeit
abnehmen	VVINF	abnehmen
müsste	VMFIN	müssen
;	$.	;
die	ART	die
Erfahrung	NN	Erfahrung
aber	KON	aber
lehrt	VVFIN	lehren
,	$,	,
dass	KOUS	dass
er	PPER	er
im	APPRART	in+die
Gegentheil	NN	Gegentheil
zunimmt	VVFIN	zunehmen
.	$.	.
Der	ART	die
Boden	NN	Boden
kann	VMFIN	können
demnach	PAV	demnach
den	ART	die
Kohlenstoff	NN	Kohlenstoff
nicht	PTKNEG	nicht
liefern	VVINF	liefern
,	$,	,
und	KON	und
da	ADV	da
,	$,	,
ausser	APPR	außer
der	ART	die
Luft	NN	Luft
,	$,	,
keine	PIAT	keine
andere	PIS	andere
Quelle	NN	Quelle
für	APPR	für
denselben	PDAT	derselb
vorhanden	ADJD	vorhanden
ist	VAFIN	sein
,	$,	,
so	ADV	so
muss	VMFIN	müssen
es	PPER	es
diese	PDAT	dies
thun	NN	thun
.	$.	.
Der	ART	die
Kohlensäure-	TRUNC	Kohlensäure-
und	KON	und
Sauerstoffgehalt	NN	Sauerstoffgehalt
der	ART	die
Luft	NN	Luft
bleibt	VVFIN	bleiben
sich	PRF	sich
,	$,	,
wie	KOUS	wie
die	ART	die
Erfahrung	NN	Erfahrung
lehrt	VVFIN	lehren
,	$,	,
immer	ADV	immer
gleich	ADJD	gleich
.	$.	.
Da	KOUS	da
wir	PPER	wir
aber	ADV	aber
wissen	VVFIN	wissen
,	$,	,
dass	KOUS	dass
durch	APPR	durch
Verwesung	NN	Verwesung
,	$,	,
Verbrennung	NN	Verbrennung
und	KON	und
das	ART	die
Athmen	NN	Athmen
der	ART	die
Thiere	NN	Thiere
fortwährend	ADJD	fortwährend
Sauerstoff	NN	Sauerstoff
zur	APPRART	zu+die
Bildung	NN	Bildung
von	APPR	von
Kohlensäure	NN	Kohlensäure
verbraucht	VVPP	verbrauchen
wird	VAFIN	werden
,	$,	,
so	ADV	so
muss	VMFIN	müssen
dieser	PDAT	dies
,	$,	,
wenn	KOUS	wenn
die	ART	die
Pflanzen	NN	Pflanze|Pflanzen
ihren	PPOSAT	ihr
Kohlenstoff	NN	Kohlenstoff
aus	APPR	aus
der	ART	die
Kohlensäure	NN	Kohlensäure
der	ART	die
Luft	NN	Luft
beziehen	VVFIN	beziehen
,	$,	,
bei	APPR	bei
der	ART	die
Aufnahme	NN	Aufnahme
der	ART	die
Kohlensäure	NN	Kohlensäure
abgeschieden	VVPP	abscheiden
werden	VAFIN	werden
,	$,	,
was	PRELS	was
ebenfalls	ADV	ebenfalls
mit	APPR	mit
der	ART	die
Erfahrung	NN	Erfahrung
übereinstimmt	VVFIN	übereinstimmen
.	$.	.
Auch	ADV	auch
ergibt	VVFIN	ergeben
die	ART	die
Rechnung	NN	Rechnung
,	$,	,
dass	KOUS	dass
der	ART	die
geringe	ADJA	gering
Kohlensäuregehalt	NN	Kohlensäuregehalt
der	ART	die
Luft	NN	Luft
,	$,	,
der	PRELS	die
nicht	PTKNEG	nicht
mehr	ADV	mehr
als	KOKOM	als
ein	ART	eine
Zehntel	NN	Zehntel
Proc	NE	Proc
.	$.	.
beträgt	VVFIN	betragen
,	$,	,
zur	APPRART	zu+die
Ernährung	NN	Ernährung
aller	PIAT	alle
lebenden	ADJA	lebend
Pflanzen	NN	Pflanze|Pflanzen
vollkommen	ADJD	vollkommen
hinreicht	VVFIN	hinreichen
.	$.	.
Die	ART	die
bekannte	ADJA	bekannt
Thatsache	NN	Thatsache
,	$,	,
dass	KOUS	dass
die	ART	die
Pflanzen	NN	Pflanze|Pflanzen
bei	APPR	bei
Nacht	NN	Nacht
etwas	PIAT	etwas
Kohlensäure	NN	Kohlensäure
aushauchen	VVFIN	aushauchen
,	$,	,
widerspricht	VVFIN	widersprechen
der	ART	die
angenommenen	ADJA	angenommen
Ansicht	NN	Ansicht
nicht	PTKNEG	nicht
;	$.	;
es	PPER	es
rührt	VVFIN	rühren
vielmehr	ADV	vielmehr
diese	PDAT	dies
Erscheinung	NN	Erscheinung
davon	PAV	davon
her	PTKVZ	her
,	$,	,
dass	KOUS	dass
die	ART	die
Kohlensäure	NN	Kohlensäure
zu	APPR	zu
jeder	PIAT	jede
Tageszeit	NN	Tageszeit
durch	APPR	durch
die	ART	die
Wurzelfasern	NN	Wurzelfasern
der	ART	die
Pflanzen	NN	Pflanze|Pflanzen
aufgenommen	VVPP	aufnehmen
,	$,	,
aber	KON	aber
nur	ADV	nur
bei	APPR	bei
Tage	NN	Tag
,	$,	,
d.	PDS	d.
h.	VVFIN	heißen
unter	APPR	unter
Lichteinfluss	NN	Lichteinfluss
,	$,	,
assimilirt	NN	assimilirt
wird	VAFIN	werden
,	$,	,
während	KOUS	während
sie	PPER	sie
des	ART	die
Nachts	ADV	nachts
unverändert	ADJD	unverändert
abdunstet	VVFIN	abdunstet
.	$.	.
2	CARD	@card@
)	$(	)
Wasserstoff	NN	Wasserstoff
.	$.	.
Die	ART	die
wichtigsten	ADJA	wichtig
Pflanzenstoffe	NN	Pflanzenstoff
,	$,	,
namentlich	ADJD	namentlich
das	ART	die
Holz	NN	Holz
,	$,	,
enthalten	VVPP	enthalten
,	$,	,
ausser	APPR	außer
dem	ART	die
Kohlenstoff	NN	Kohlenstoff
,	$,	,
Sauerstoff	NN	Sauerstoff
und	KON	und
Wasserstoff	NN	Wasserstoff
,	$,	,
und	KON	und
die	ART	die
beiden	PIAT	beide
letztern	NN	letztern
in	APPR	in
demselben	PDAT	dieselb
Verhältniss	NN	Verhältniss
,	$,	,
wie	KOUS	wie
das	ART	die
Wasser	NN	Wasser
.	$.	.
Bei	APPR	bei
ihrer	PPOSAT	ihr
Bildung	NN	Bildung
aus	APPR	aus
Kohlensäure	NN	Kohlensäure
und	KON	und
Wasser	NN	Wasser
müssen	VMFIN	müssen
also	ADV	also
auf	APPR	auf
jedes	PIAT	jede
Atom	NN	Atom
Kohlenstoff	NN	Kohlenstoff
,	$,	,
was	PRELS	was
aufgenommen	VVPP	aufnehmen
wird	VAFIN	werden
,	$,	,
zwei	CARD	zwei
Atome	NN	Atom
Sauerstoff	NN	Sauerstoff
abgeschieden	VVPP	abscheiden
werden	VAFIN	werden
,	$,	,
welche	PRELS	welche
man	PIS	man
eben	ADV	eben
so	ADV	so
gut	ADJD	gut
aus	APPR	aus
dem	ART	die
Wasser	NN	Wasser
,	$,	,
als	KOKOM	als
aus	APPR	aus
der	ART	die
Kohlensäure	NN	Kohlensäure
herleiten	VVINF	herleiten
kann	VMFIN	können
.	$.	.
Nur	ADV	nur
wenige	PIAT	wenige
Stoffe	NN	Stoff
sind	VAFIN	sein
ärmer	ADJD	arm
an	APPR	an
Sauerstoff	NN	Sauerstoff
,	$,	,
als	KOUS	als
das	ART	die
Holz	NN	Holz
,	$,	,
oder	KON	oder
bestehen	VVFIN	bestehen
ganz	ADV	ganz
aus	APPR	aus
Kohlenstoff	NN	Kohlenstoff
und	KON	und
Wasserstoff	NN	Wasserstoff
;	$.	;
bei	APPR	bei
ihrer	PPOSAT	ihr
Bildung	NN	Bildung
muss	VMFIN	müssen
also	ADV	also
,	$,	,
ausser	APPR	außer
dem	ART	die
Sauerstoff	NN	Sauerstoff
der	ART	die
Kohlensäure	NN	Kohlensäure
,	$,	,
auch	ADV	auch
der	ART	die
des	ART	die
Wassers	NN	Wasser
ganz	ADJD	ganz
oder	KON	oder
theilweise	ADJD	theilweise
ausgeschieden	VVPP	ausscheiden
werden	VAFIN	werden
.	$.	.
Endlich	ADV	endlich
weiss	VVFIN	wissen
man	PIS	man
mit	APPR	mit
Gewissheit	NN	Gewissheit
aus	APPR	aus
der	ART	die
Zusammensetzung	NN	Zusammensetzung
aller	PIAT	alle
Pflanzenstoffe	NN	Pflanzenstoff
,	$,	,
dass	KOUS	dass
bei	APPR	bei
ihrer	PPOSAT	ihr
Bildung	NN	Bildung
niemals	ADV	niemals
aller	PIAT	alle
Sauerstoff	NN	Sauerstoff
des	ART	die
Wassers	NN	Wasser
und	KON	und
der	ART	die
Kohlensäure	NN	Kohlensäure
verbraucht	VVPP	verbrauchen
werden	VAINF	werden
kann	VMFIN	können
,	$,	,
dass	KOUS	dass
also	ADV	also
auch	ADV	auch
die	ART	die
Ernährung	NN	Ernährung
der	ART	die
Pflanzen	NN	Pflanze|Pflanzen
durchaus	ADV	durchaus
auf	APPR	auf
einem	ART	eine
Reductionsprozesse	NN	Reductionsprozesse
beruht	VVPP	beruhen
.	$.	.
3	CARD	@card@
)	$(	)
Stickstoff	NN	Stickstoff
.	$.	.
Es	PPER	es
ist	VAFIN	sein
bekannt	ADJD	bekannt
,	$,	,
dass	KOUS	dass
es	PPER	es
Pflanzen	NN	Pflanze|Pflanzen
gibt	VVFIN	geben
,	$,	,
die	PRELS	die
durch	APPR	durch
Regenwasser	NN	Regenwasser
vollkommen	ADJD	vollkommen
ernährt	VVPP	ernähren
werden	VAINF	werden
können	VMFIN	können
,	$,	,
und	KON	und
die	ART	die
,	$,	,
dessen	PRELAT	die
ungeachtet	APPO	ungeachtet
,	$,	,
nicht	PTKNEG	nicht
frei	ADJD	frei
von	APPR	von
Stickstoff	NN	Stickstoff
sind	VAFIN	sein
.	$.	.
Dieser	PDAT	dies
Stickstoff	NN	Stickstoff
kann	VMFIN	können
in	APPR	in
dem	ART	die
Regenwasser	NN	Regenwasser
nur	ADV	nur
als	KOKOM	als
solcher	PIS	solche
oder	KON	oder
als	KOKOM	als
Ammoniak	NN	Ammoniak
enthalten	VVPP	enthalten
sein	VAINF	sein
;	$.	;
von	APPR	von
dem	ART	die
ersteren	PIS	erstere
wissen	VVFIN	wissen
wir	PPER	wir
,	$,	,
dass	KOUS	dass
er	PPER	er
keine	PIAT	keine
directen	ADJA	directen
Verbindungen	NN	Verbindung
eingeht	VVFIN	eingehen
.	$.	.
Ferner	ADJD	fern
lehrt	VVFIN	lehren
uns	PPER	wir
die	ART	die
Erfahrung	NN	Erfahrung
,	$,	,
dass	KOUS	dass
die	ART	die
Menge	NN	Menge
stickstoffhaltiger	ADJA	stickstoffhaltig
Stoffe	NN	Stoff
in	APPR	in
den	ART	die
Kulturpflanzen	NN	Kulturpflanze
,	$,	,
z.	APPRART	zu+die
B.	NN	B.
dem	ART	die
Kleber	NN	Kleber
des	ART	die
Getraides	NN	Getraides
,	$,	,
mit	APPR	mit
der	ART	die
Menge	NN	Menge
des	ART	die
,	$,	,
in	APPR	in
dem	ART	die
animalischen	ADJA	animalisch
Dünger	NN	Dünger
enthaltenen	ADJA	enthalten
Ammoniaks	NN	Ammoniak
,	$,	,
im	APPRART	in+die
Verhältniss	NN	Verhältniss
steht	VVFIN	stehen
.	$.	.
Auf	APPR	auf
einem	ART	eine
Gute	NN	Gute
,	$,	,
bei	APPR	bei
dessen	PRELAT	die
Bewirthschaftung	NN	Bewirthschaftung
der	ART	die
Stickstoff	NN	Stickstoff
in	APPR	in
Form	NN	Form
von	APPR	von
Pflanzen	NN	Pflanze|Pflanzen
,	$,	,
Vieh	NN	Vieh
und	KON	und
Dünger	NN	Dünger
zirkulirt	NN	zirkulirt
,	$,	,
vermehrt	VVFIN	vermehren
sich	PRF	sich
der	ART	die
Stickstoffgehalt	NN	Stickstoffgehalt
,	$,	,
wiewohl	KOUS	wiewohl
fortwährend	ADJD	fortwährend
Stickstoff	NN	Stickstoff
in	APPR	in
Form	NN	Form
von	APPR	von
Fleisch	NN	Fleisch
und	KON	und
Früchten	NN	Frucht
ausgeführt	VVPP	ausführen
wird	VAFIN	werden
.	$.	.
Diesen	PDS	diese
muss	VMFIN	müssen
also	ADV	also
offenbar	ADJD	offenbar
,	$,	,
da	KOUS	da
keine	PIAT	keine
andere	PIS	andere
Quelle	NN	Quelle
für	APPR	für
ihn	PPER	er
vorhanden	ADJD	vorhanden
ist	VAFIN	sein
,	$,	,
die	ART	die
Luft	NN	Luft
ersetzen	VVFIN	ersetzen
.	$.	.
Nun	ADV	nun
lässt	VVFIN	lassen
sich	PRF	sich
nicht	PTKNEG	nicht
nur	ADV	nur
das	ART	die
Ammoniak	NN	Ammoniak
in	APPR	in
dem	ART	die
Regenwasser	NN	Regenwasser
nachweisen	VVINF	nachweisen
,	$,	,
sondern	KON	sondern
seine	PPOSAT	sein
Menge	NN	Menge
reicht	VVFIN	reichen
auch	ADV	auch
,	$,	,
nach	APPR	nach
einer	ART	eine
angestellten	ADJA	angestellt
Rechnung	NN	Rechnung
,	$,	,
hin	PTKVZ	hin
,	$,	,
allen	PIAT	alle
Stickstoff	NN	Stickstoff
der	ART	die
Pflanzen	NN	Pflanze|Pflanzen
und	KON	und
Thiere	NN	Thiere
zu	PTKZU	zu
liefern	VVINF	liefern
.	$.	.
Die	ART	die
Erfahrungen	NN	Erfahrung
,	$,	,
nach	APPR	nach
denen	PRELS	die
Ammoniak	NN	Ammoniak
in	APPR	in
den	ART	die
Pflanzensäften	NN	Pflanzensaft
gefunden	VVPP	finden
wird	VAFIN	werden
,	$,	,
die	ART	die
Wirkung	NN	Wirkung
des	ART	die
animalischen	ADJA	animalisch
Düngers	NN	Dünger
mit	APPR	mit
seinem	PPOSAT	sein
Ammoniakgehalt	NN	Ammoniakgehalt
im	APPRART	in+die
Verhältniss	NN	Verhältniss
steht	VVFIN	stehen
,	$,	,
und	KON	und
endlich	ADV	endlich
Körper	NN	Körper
,	$,	,
welche	PRELS	welche
Ammoniak	NN	Ammoniak
aufsaugen	VVFIN	aufsaugen
,	$,	,
wie	KOKOM	wie
Thon	NN	Thon
,	$,	,
Kohle	NN	Kohle
und	KON	und
Eisenoxyd	NN	Eisenoxyd
,	$,	,
auch	ADV	auch
als	KOKOM	als
Dünger	NN	Dünger
wirken	VVFIN	wirken
,	$,	,
bestätigen	VVFIN	bestätigen
auf	APPR	auf
das	ART	die
Entschiedenste	NN	Entschiedenste
die	ART	die
Ansicht	NN	Ansicht
,	$,	,
dass	KOUS	dass
die	ART	die
